id,clientId,clientName,clientAddress,amount,issueDate,dueDate,period,status,provider,providerInfo
27200,11908,Stancu Stancu,Strada Republicii 25 Bra?ov,125.74,6/22/2025,7/11/2025,2025-06-22 - 2025-07-21,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023868
27201,12294,Octavian Mocanu,Strada Mure?enilor 5 Bra?ov,130.67,6/23/2025,7/12/2025,2025-06-22 - 2025-07-22,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023869
27202,11914,Eduard Diaconu,Strada Saturn 15 Bra?ov,143.88,6/24/2025,7/13/2025,2025-06-22 - 2025-07-23,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023870
27203,11658,Arsenie Dima,Strada Lunga 109 Bra?ov,139.21,6/25/2025,7/14/2025,2025-06-22 - 2025-07-24,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023871
27204,11020,Dan Albu,Strada De Mijloc 45 Bra?ov,117.45,6/26/2025,7/15/2025,2025-06-22 - 2025-07-25,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023872
27205,10893,Decebal Dinu,Strada Carpa?ilor 70 Bra?ov,149.83,6/27/2025,7/16/2025,2025-06-22 - 2025-07-26,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023873
27206,10382,Florica Oprea,Strada Castanilor 12 Bra?ov,101.96,6/28/2025,7/17/2025,2025-06-22 - 2025-07-27,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023874
27207,10767,Anghelina Dobre,Bulevardul Grivi?ei 78 Bra?ov,128.45,6/29/2025,7/18/2025,2025-06-22 - 2025-07-28,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023875
27208,10386,Ionela Marin,Strada Avram Iancu 9 Bra?ov,136.2,6/30/2025,7/19/2025,2025-06-22 - 2025-07-29,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023876
27209,12179,Nicolaie Suciu,Strada Castanilor 12 Bra?ov,121.79,7/1/2025,7/20/2025,2025-06-22 - 2025-07-30,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023877
27210,11794,Ilarie Voinea,Strada De Mijloc 45 Bra?ov,115.08,7/2/2025,7/21/2025,2025-06-22 - 2025-07-31,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023878
27211,10268,Hortensia Dumitrescu,Bulevardul Grivi?ei 78 Bra?ov,143.57,7/3/2025,7/22/2025,2025-06-22 - 2025-07-32,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023879
27212,11805,Roza Ni??,Strada Lunga 109 Bra?ov,113.45,7/4/2025,7/23/2025,2025-06-22 - 2025-07-33,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023880
27213,11676,Corina Dumitrescu,Strada Mure?enilor 5 Bra?ov,145.68,7/5/2025,7/24/2025,2025-06-22 - 2025-07-34,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023881
27214,10141,Lucia Cristea,Strada Republicii 25 Bra?ov,111.99,7/6/2025,7/25/2025,2025-06-22 - 2025-07-35,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023882
27215,12320,Bucur Dobre,Strada Avram Iancu 9 Bra?ov,124.03,7/7/2025,7/26/2025,2025-06-22 - 2025-07-36,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023883
27216,10401,Doina Stoica,Strada Saturn 15 Bra?ov,109.22,7/8/2025,7/27/2025,2025-06-22 - 2025-07-37,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023884
27217,10361,Gabriela Diaconu,Strada Carpa?ilor 70 Bra?ov,122.45,7/9/2025,7/28/2025,2025-06-22 - 2025-07-38,UNPAID,Digi Romania S.R.L,Digi Telecommunications Sdn Bhd (201283 - M) Lot 10 Jalan Delima 1/1. Subang Hi-Tech Industrial Park.40000 Subang Jaya. Selangor Darul Ehsan. MalaysiaSST License No : B16-1808-31023885
